#put your comments after a '#'.
#efficiency name: WP85
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.6234     0.6267     0.6202     686.98
         30         35       -2.5       -1.5          4     0.7425      0.746      0.739     479.41
         35         40       -2.5       -1.5          4     0.7453     0.7483     0.7424     601.43
         40         50       -2.5       -1.5          4     0.8213     0.8231     0.8195     1141.8
         50        500       -2.5       -1.5          4     0.8407      0.847     0.8345     353.27
         20         30       -1.5          0          4     0.7478     0.7502     0.7454       1321
         30         35       -1.5          0          4     0.8422     0.8445     0.8399     1096.7
         35         40       -1.5          0          4     0.8739     0.8756     0.8723     1526.6
         40         50       -1.5          0          4     0.9015     0.9027     0.9003       3009
         50        500       -1.5          0          4     0.9019     0.9055     0.8984       1112
         20         30          0        1.5          4     0.7807     0.7833     0.7781     1289.2
         30         35          0        1.5          4     0.8655     0.8678     0.8632     1155.2
         35         40          0        1.5          4     0.8883     0.8904     0.8862     1494.8
         40         50          0        1.5          4     0.9136      0.915     0.9123     2986.3
         50        500          0        1.5          4     0.8892     0.8932     0.8852     1007.7
         20         30        1.5        2.5          4       0.64     0.6431     0.6368     726.01
         30         35        1.5        2.5          4     0.7339     0.7367     0.7312      577.3
         35         40        1.5        2.5          4     0.7628     0.7652     0.7605     631.53
         40         50        1.5        2.5          4      0.817     0.8193     0.8148     1103.7
         50        500        1.5        2.5          4       0.87     0.8758     0.8643     387.32
