#put your comments after a '#'.
#efficiency name: WP90
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         30       -2.5       -1.5          4     0.7392      0.743     0.7355     681.12
         30         35       -2.5       -1.5          4       0.83     0.8335     0.8265     482.05
         35         40       -2.5       -1.5          4     0.8422     0.8454     0.8391      599.7
         40         50       -2.5       -1.5          4     0.8969     0.8987     0.8951     1143.4
         50        500       -2.5       -1.5          4     0.9128     0.9192     0.9065      347.2
         20         30       -1.5          0          4     0.7923     0.7948     0.7898     1324.9
         30         35       -1.5          0          4     0.8832     0.8855     0.8808     1094.3
         35         40       -1.5          0          4     0.9125     0.9142     0.9109     1524.3
         40         50       -1.5          0          4      0.929     0.9302     0.9278     3009.4
         50        500       -1.5          0          4     0.9236     0.9268     0.9205       1126
         20         30          0        1.5          4     0.8505     0.8532     0.8478     1295.6
         30         35          0        1.5          4     0.9041     0.9064     0.9017     1156.6
         35         40          0        1.5          4     0.9262     0.9283     0.9242     1499.4
         40         50          0        1.5          4     0.9436     0.9448     0.9423     2997.4
         50        500          0        1.5          4     0.9151      0.919     0.9113     1010.8
         20         30        1.5        2.5          4     0.7407     0.7442     0.7373     723.34
         30         35        1.5        2.5          4     0.8546     0.8578     0.8515     574.33
         35         40        1.5        2.5          4     0.8571     0.8595     0.8546     630.02
         40         50        1.5        2.5          4     0.8945     0.8967     0.8924     1106.8
         50        500        1.5        2.5          4     0.9047     0.9102     0.8993     390.18
