#put your comments after a '#'.
#efficiency name: WP80
#dimension: 1 


     #PtMin      PtMax     EtaMin     EtaMax   NumParms        eff      systp      systm        den
         20         25       -2.5       -1.5          4     0.5622     0.5675     0.5569     293.52
         25         30       -2.5       -1.5          4     0.6007     0.6046     0.5968     383.55
         30         35       -2.5       -1.5          4     0.6967        0.7     0.6934     480.83
         35         40       -2.5       -1.5          4     0.6946     0.6974     0.6919     602.18
         40         50       -2.5       -1.5          4     0.7873      0.789     0.7856     1141.8
         50        520       -2.5       -1.5          4     0.8075     0.8134     0.8017     355.33
         20         25       -1.5          0          4     0.6531      0.657     0.6492     543.48
         25         30       -1.5          0          4     0.7406     0.7435     0.7378     776.31
         30         35       -1.5          0          4     0.8146     0.8169     0.8123       1096
         35         40       -1.5          0          4     0.8432     0.8449     0.8416       1525
         40         50       -1.5          0          4     0.8783     0.8795     0.8771       3000
         50        520       -1.5          0          4     0.8817     0.8853     0.8782     1110.3
         20         25          0        1.5          4     0.6392     0.6433     0.6352     495.03
         25         30          0        1.5          4     0.7716     0.7747     0.7685     791.34
         30         35          0        1.5          4     0.8275     0.8297     0.8252       1157
         35         40          0        1.5          4      0.861     0.8631      0.859       1497
         40         50          0        1.5          4     0.8923     0.8936     0.8909       2983
         50        520          0        1.5          4     0.8715     0.8754     0.8676     1007.4
         20         25        1.5        2.5          4     0.5285      0.533      0.524     315.87
         25         30        1.5        2.5          4     0.6298     0.6336      0.626     413.85
         30         35        1.5        2.5          4     0.6815     0.6842     0.6789     576.55
         35         40        1.5        2.5          4     0.7297      0.732     0.7274     631.51
         40         50        1.5        2.5          4     0.7873     0.7895     0.7851     1105.5
         50        520        1.5        2.5          4     0.8295     0.8347     0.8243     391.81
