#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5   -4.050791e-03    1.797658e-06
         2       2.5       5.0   -7.737279e-04    2.629996e-03
         3       5.0       7.5   -1.736343e-03    2.782820e-03
         4       7.5      10.0    9.759665e-04    3.201020e-03
         5      10.0      12.5   -1.413345e-03    3.643236e-03
         6      12.5      15.0   -1.899242e-03    4.094748e-03
         7      15.0      17.5   -1.271784e-03    4.575533e-03
         8      17.5      20.0   -5.819559e-03    5.039751e-03
         9      20.0      30.0    3.532052e-03    3.155459e-03
        10      30.0      40.0    7.419825e-03    4.300433e-03
        11      40.0      50.0    4.265547e-03    5.571049e-03
        12      50.0      70.0    2.900124e-03    5.497846e-03
        13      70.0      90.0   -6.331980e-03    8.341194e-03
        14      90.0     110.0   -2.913296e-03    1.247346e-02
        15     110.0     150.0    4.853606e-03    1.391642e-02
        16     150.0     190.0    2.837980e-02    2.463194e-02
        17     190.0     250.0    4.444003e-02    3.580379e-02
        18     250.0     600.0    5.134344e-02    5.324947e-02
        19     600.0    3500.0    8.116876e-01    1.010511e+00
