#
#      Bin     Y_min     Y_max           Value     Uncertainty
         1       0.0       2.5   -6.508827e-03    1.820742e-06
         2       2.5       5.0   -1.726210e-03    2.647141e-03
         3       5.0       7.5   -3.139257e-03    2.800027e-03
         4       7.5      10.0    8.987188e-04    3.223973e-03
         5      10.0      12.5    3.696918e-03    3.683598e-03
         6      12.5      15.0   -2.131939e-03    4.123673e-03
         7      15.0      17.5    1.312256e-03    4.617532e-03
         8      17.5      20.0    5.490780e-04    5.100521e-03
         9      20.0      30.0    4.119992e-03    3.179628e-03
        10      30.0      40.0    1.749516e-03    4.313215e-03
        11      40.0      50.0   -7.504821e-04    5.590337e-03
        12      50.0      70.0    4.709005e-03    5.545000e-03
        13      70.0      90.0    6.436110e-03    8.482073e-03
        14      90.0     110.0    3.438592e-03    1.262343e-02
        15     110.0     150.0   -5.165517e-03    1.391249e-02
        16     150.0     190.0    1.690030e-03    2.432475e-02
        17     190.0     250.0    4.632235e-03    3.502330e-02
        18     250.0     600.0    8.312571e-02    5.484239e-02
        19     600.0    3500.0    6.569922e-01    9.446304e-01
